id,title,description,availability,condition,price,link,image_link,brand,product_type
porta-whisky,Porta whisky,Porta whisky com a sua logo. Cantil de bolso em inox.,in stock,new,,https://khaus-site.vercel.app/p/porta-whisky,https://khaus-site.vercel.app/img/porta-whisky.webp,Khaus Brindes,Bebidas e churrasco
tabua-28x18,Tábua 28x18,Tábua 28x18 com a sua logo. Tábua de bambu.,in stock,new,,https://khaus-site.vercel.app/p/tabua-28x18,https://khaus-site.vercel.app/img/tabua-28x18.webp,Khaus Brindes,Bebidas e churrasco
tabua-34x24,Tábua 34x24,Tábua 34x24 com a sua logo. Tábua de bambu.,in stock,new,,https://khaus-site.vercel.app/p/tabua-34x24,https://khaus-site.vercel.app/img/tabua-34x24.webp,Khaus Brindes,Bebidas e churrasco
tabua-eucalipto,Tábua eucalipto,Tábua eucalipto com a sua logo. Madeira de eucalipto.,in stock,new,,https://khaus-site.vercel.app/p/tabua-eucalipto,https://khaus-site.vercel.app/img/tabua-eucalipto.webp,Khaus Brindes,Bebidas e churrasco
tabua-corte-33x18,Tábua de corte 33x18,Tábua de corte 33x18 com a sua logo. Com cabo.,in stock,new,,https://khaus-site.vercel.app/p/tabua-corte-33x18,https://khaus-site.vercel.app/img/tabua-corte-33x18.webp,Khaus Brindes,Bebidas e churrasco
tabua-corte-40x16,Tábua de corte 40x16,Tábua de corte 40x16 com a sua logo. Com cabo.,in stock,new,,https://khaus-site.vercel.app/p/tabua-corte-40x16,https://khaus-site.vercel.app/img/tabua-corte-40x16.webp,Khaus Brindes,Bebidas e churrasco
petisqueiro-16x10,Petisqueiro 16x10,Petisqueiro 16x10 com a sua logo. Bambu.,in stock,new,,https://khaus-site.vercel.app/p/petisqueiro-16x10,https://khaus-site.vercel.app/img/petisqueiro-16x10.webp,Khaus Brindes,Bebidas e churrasco
petisqueiro-20x20,Petisqueiro 20x20,"Petisqueiro 20x20 com a sua logo. Redondo, bambu.",in stock,new,,https://khaus-site.vercel.app/p/petisqueiro-20x20,https://khaus-site.vercel.app/img/petisqueiro-20x20.webp,Khaus Brindes,Bebidas e churrasco
petisqueiro-36x24,Petisqueiro 36x24,"Petisqueiro 36x24 com a sua logo. Retangular, bambu.",in stock,new,,https://khaus-site.vercel.app/p/petisqueiro-36x24,https://khaus-site.vercel.app/img/petisqueiro-36x24.webp,Khaus Brindes,Bebidas e churrasco
petisqueira-30x30,Petisqueira 30x30,Petisqueira 30x30 com a sua logo. Redonda com divisórias.,in stock,new,,https://khaus-site.vercel.app/p/petisqueira-30x30,https://khaus-site.vercel.app/img/petisqueira-30x30.webp,Khaus Brindes,Bebidas e churrasco
kit-churrasco-2-pecas,Kit churrasco 2 peças,Kit churrasco 2 peças com a sua logo. Faca e garfo com estojo.,in stock,new,,https://khaus-site.vercel.app/p/kit-churrasco-2-pecas,https://khaus-site.vercel.app/img/kit-churrasco-2-pecas.webp,Khaus Brindes,Bebidas e churrasco
kit-churrasco-3-pecas-estojo,Kit churrasco 3 peças com estojo,Kit churrasco 3 peças com estojo com a sua logo. Estojo de tecido.,in stock,new,,https://khaus-site.vercel.app/p/kit-churrasco-3-pecas-estojo,https://khaus-site.vercel.app/img/kit-churrasco-3-pecas-estojo.webp,Khaus Brindes,Bebidas e churrasco
kit-churrasco-3-pecas-maleta,Kit churrasco 3 peças com maleta,Kit churrasco 3 peças com maleta com a sua logo. Maleta de alumínio.,in stock,new,,https://khaus-site.vercel.app/p/kit-churrasco-3-pecas-maleta,https://khaus-site.vercel.app/img/kit-churrasco-3-pecas-maleta.webp,Khaus Brindes,Bebidas e churrasco
kit-churrasco-5-pecas,Kit churrasco 5 peças,Kit churrasco 5 peças com a sua logo. Com estojo.,in stock,new,,https://khaus-site.vercel.app/p/kit-churrasco-5-pecas,https://khaus-site.vercel.app/img/kit-churrasco-5-pecas.webp,Khaus Brindes,Bebidas e churrasco
kit-churrasco-8-pecas,Kit churrasco 8 peças,"Kit churrasco 8 peças com a sua logo. Com tábua, avental e estojo.",in stock,new,,https://khaus-site.vercel.app/p/kit-churrasco-8-pecas,https://khaus-site.vercel.app/img/kit-churrasco-8-pecas.webp,Khaus Brindes,Bebidas e churrasco
porta-pratos,Porta pratos,Porta pratos com a sua logo. Bolsa redonda para pratos.,in stock,new,,https://khaus-site.vercel.app/p/porta-pratos,https://khaus-site.vercel.app/img/porta-pratos.webp,Khaus Brindes,Bebidas e churrasco
taca-cerveja,Taça cerveja,Taça cerveja com a sua logo. Vidro.,in stock,new,,https://khaus-site.vercel.app/p/taca-cerveja,https://khaus-site.vercel.app/img/taca-cerveja.webp,Khaus Brindes,Copos e taças de vidro
taca-champanhe-vidro,Taça champanhe de vidro,Taça champanhe de vidro com a sua logo. Vidro.,in stock,new,,https://khaus-site.vercel.app/p/taca-champanhe-vidro,https://khaus-site.vercel.app/img/taca-champanhe-vidro.webp,Khaus Brindes,Copos e taças de vidro
copo-chopp-vidro,Caneca chopp de vidro,"Caneca chopp de vidro com a sua logo. Vidro, com alça.",in stock,new,,https://khaus-site.vercel.app/p/copo-chopp-vidro,https://khaus-site.vercel.app/img/copo-chopp-vidro.webp,Khaus Brindes,Copos e taças de vidro
taca-munich,Taça Munich,Taça Munich com a sua logo. Vidro.,in stock,new,,https://khaus-site.vercel.app/p/taca-munich,https://khaus-site.vercel.app/img/taca-munich.webp,Khaus Brindes,Copos e taças de vidro
copo-whisky,Copo whisky,Copo whisky com a sua logo. Vidro.,in stock,new,,https://khaus-site.vercel.app/p/copo-whisky,https://khaus-site.vercel.app/img/copo-whisky.webp,Khaus Brindes,Copos e taças de vidro
copo-long-drink-vidro,Copo long drink de vidro,Copo long drink de vidro com a sua logo. Vidro.,in stock,new,,https://khaus-site.vercel.app/p/copo-long-drink-vidro,https://khaus-site.vercel.app/img/copo-long-drink-vidro.webp,Khaus Brindes,Copos e taças de vidro
caixa-termica-mor,Caixa térmica MOR,Caixa térmica MOR com a sua logo. Caixa térmica com alça.,in stock,new,,https://khaus-site.vercel.app/p/caixa-termica-mor,https://khaus-site.vercel.app/img/caixa-termica-mor.webp,Khaus Brindes,Caixas e bolsas térmicas
caixa-termica-termolar,Caixa térmica Termolar,Caixa térmica Termolar com a sua logo. Caixa térmica com alça.,in stock,new,,https://khaus-site.vercel.app/p/caixa-termica-termolar,https://khaus-site.vercel.app/img/caixa-termica-termolar.webp,Khaus Brindes,Caixas e bolsas térmicas
bolsa-termica-9l,Bolsa térmica 9L,Bolsa térmica 9L com a sua logo. Capacidade de 9 litros.,in stock,new,,https://khaus-site.vercel.app/p/bolsa-termica-9l,https://khaus-site.vercel.app/img/bolsa-termica-9l.webp,Khaus Brindes,Caixas e bolsas térmicas
bolsa-termica-11l,Bolsa térmica 11L,Bolsa térmica 11L com a sua logo. Capacidade de 11 litros.,in stock,new,,https://khaus-site.vercel.app/p/bolsa-termica-11l,https://khaus-site.vercel.app/img/bolsa-termica-11l.webp,Khaus Brindes,Caixas e bolsas térmicas
bolsa-termica-13l,Bolsa térmica 13L,Bolsa térmica 13L com a sua logo. Capacidade de 13 litros.,in stock,new,,https://khaus-site.vercel.app/p/bolsa-termica-13l,https://khaus-site.vercel.app/img/bolsa-termica-13l.webp,Khaus Brindes,Caixas e bolsas térmicas
bolsa-termica-15l,Bolsa térmica 15L,Bolsa térmica 15L com a sua logo. Capacidade de 15 litros.,in stock,new,,https://khaus-site.vercel.app/p/bolsa-termica-15l,https://khaus-site.vercel.app/img/bolsa-termica-15l.webp,Khaus Brindes,Caixas e bolsas térmicas
copo-twister,Copo twister,Copo twister com a sua logo. Acrílico.,in stock,new,,https://khaus-site.vercel.app/p/copo-twister,https://khaus-site.vercel.app/img/copo-twister.webp,Khaus Brindes,Copos e taças de acrílico
copo-long-drink-acrilico,Copo long drink de acrílico,Copo long drink de acrílico com a sua logo. Acrílico.,in stock,new,,https://khaus-site.vercel.app/p/copo-long-drink-acrilico,https://khaus-site.vercel.app/img/copo-long-drink-acrilico.webp,Khaus Brindes,Copos e taças de acrílico
taca-champanhe-acrilico,Taça champanhe de acrílico,Taça champanhe de acrílico com a sua logo. Acrílico.,in stock,new,,https://khaus-site.vercel.app/p/taca-champanhe-acrilico,https://khaus-site.vercel.app/img/taca-champanhe-acrilico.webp,Khaus Brindes,Copos e taças de acrílico
taca-gin,Taça gin,Taça gin com a sua logo. Acrílico.,in stock,new,,https://khaus-site.vercel.app/p/taca-gin,https://khaus-site.vercel.app/img/taca-gin.webp,Khaus Brindes,Copos e taças de acrílico
copo-chopp-acrilico,Caneca chopp de acrílico,"Caneca chopp de acrílico com a sua logo. Acrílico, com alça.",in stock,new,,https://khaus-site.vercel.app/p/copo-chopp-acrilico,https://khaus-site.vercel.app/img/copo-chopp-acrilico.webp,Khaus Brindes,Copos e taças de acrílico
coqueteleira,Coqueteleira,Coqueteleira com a sua logo. Com tampa.,in stock,new,,https://khaus-site.vercel.app/p/coqueteleira,https://khaus-site.vercel.app/img/coqueteleira.webp,Khaus Brindes,Copos e taças de acrílico
caneta-3011c,Caneta 3011C,Caneta 3011C com a sua logo. Corpo branco com detalhe colorido.,in stock,new,,https://khaus-site.vercel.app/p/caneta-3011c,https://khaus-site.vercel.app/img/caneta-3011c.webp,Khaus Brindes,Escritório
caneta-safira,Caneta Safira,Caneta Safira com a sua logo. Plástica colorida.,in stock,new,,https://khaus-site.vercel.app/p/caneta-safira,https://khaus-site.vercel.app/img/caneta-safira.webp,Khaus Brindes,Escritório
caneta-metal,Caneta metal,Caneta metal com a sua logo. Corpo metálico.,in stock,new,,https://khaus-site.vercel.app/p/caneta-metal,https://khaus-site.vercel.app/img/caneta-metal.webp,Khaus Brindes,Escritório
caneta-plastica-suporte,Caneta plástica com suporte para celular,Caneta plástica com suporte para celular com a sua logo. Com apoio para celular.,in stock,new,,https://khaus-site.vercel.app/p/caneta-plastica-suporte,https://khaus-site.vercel.app/img/caneta-plastica-suporte.webp,Khaus Brindes,Escritório
caderno-ecologico,Caderno ecológico com caneta,Caderno ecológico com caneta com a sua logo. Capa kraft com detalhe colorido.,in stock,new,,https://khaus-site.vercel.app/p/caderno-ecologico,https://khaus-site.vercel.app/img/caderno-ecologico.webp,Khaus Brindes,Escritório
caderno-bambu,Caderno de bambu com caneta,Caderno de bambu com caneta com a sua logo. Capa de bambu.,in stock,new,,https://khaus-site.vercel.app/p/caderno-bambu,https://khaus-site.vercel.app/img/caderno-bambu.webp,Khaus Brindes,Escritório
calendario-madeira,Calendário de madeira,Calendário de madeira com a sua logo. Calendário permanente.,in stock,new,,https://khaus-site.vercel.app/p/calendario-madeira,https://khaus-site.vercel.app/img/calendario-madeira.webp,Khaus Brindes,Escritório
canivete-inox,Canivete inox,Canivete inox com a sua logo. Aço inox.,in stock,new,,https://khaus-site.vercel.app/p/canivete-inox,https://khaus-site.vercel.app/img/canivete-inox.webp,Khaus Brindes,Canivetes
canivete-abridor,Canivete com abridor,Canivete com abridor com a sua logo. Com estojo.,in stock,new,,https://khaus-site.vercel.app/p/canivete-abridor,https://khaus-site.vercel.app/img/canivete-abridor.webp,Khaus Brindes,Canivetes
canivete-11-funcoes,Canivete de metal 11 funções,Canivete de metal 11 funções com a sua logo. Multifunções.,in stock,new,,https://khaus-site.vercel.app/p/canivete-11-funcoes,https://khaus-site.vercel.app/img/canivete-11-funcoes.webp,Khaus Brindes,Canivetes
canivete-bainha,Canivete com bainha,Canivete com bainha com a sua logo. Acompanha bainha.,in stock,new,,https://khaus-site.vercel.app/p/canivete-bainha,https://khaus-site.vercel.app/img/canivete-bainha.webp,Khaus Brindes,Canivetes
canivete-madeira-1,Canivete madeira modelo 1,"Canivete madeira modelo 1 com a sua logo. Cabo de madeira, com estojo.",in stock,new,,https://khaus-site.vercel.app/p/canivete-madeira-1,https://khaus-site.vercel.app/img/canivete-madeira-1.webp,Khaus Brindes,Canivetes
canivete-madeira-2,Canivete madeira modelo 2,"Canivete madeira modelo 2 com a sua logo. Cabo de madeira, com estojo.",in stock,new,,https://khaus-site.vercel.app/p/canivete-madeira-2,https://khaus-site.vercel.app/img/canivete-madeira-2.webp,Khaus Brindes,Canivetes
canivete-madeira-3,Canivete madeira modelo 3,Canivete madeira modelo 3 com a sua logo. Cabo de madeira.,in stock,new,,https://khaus-site.vercel.app/p/canivete-madeira-3,https://khaus-site.vercel.app/img/canivete-madeira-3.webp,Khaus Brindes,Canivetes
termica-25l-inox,"Térmica 2,5L inox","Térmica 2,5L inox com a sua logo. Garrafa térmica de 2,5 litros.",in stock,new,,https://khaus-site.vercel.app/p/termica-25l-inox,https://khaus-site.vercel.app/img/termica-25l-inox.webp,Khaus Brindes,Tereré e chimarrão
termica-terere-25l,"Térmica tereré 2,5L","Térmica tereré 2,5L com a sua logo. Com alça e bico.",in stock,new,,https://khaus-site.vercel.app/p/termica-terere-25l,https://khaus-site.vercel.app/img/termica-terere-25l.webp,Khaus Brindes,Tereré e chimarrão
termica-termolar,Térmica Termolar,Térmica Termolar com a sua logo. Garrafa térmica com pressão.,in stock,new,,https://khaus-site.vercel.app/p/termica-termolar,https://khaus-site.vercel.app/img/termica-termolar.webp,Khaus Brindes,Tereré e chimarrão
termica-termolar-inox,Térmica Termolar inox,Térmica Termolar inox com a sua logo. Garrafa térmica com pressão.,in stock,new,,https://khaus-site.vercel.app/p/termica-termolar-inox,https://khaus-site.vercel.app/img/termica-termolar-inox.webp,Khaus Brindes,Tereré e chimarrão
cuia-porongo,Cuia porongo,Cuia porongo com a sua logo. Pé de massa ou pé de metal.,in stock,new,,https://khaus-site.vercel.app/p/cuia-porongo,https://khaus-site.vercel.app/img/cuia-porongo.webp,Khaus Brindes,Tereré e chimarrão
bomba-inox,Bomba inox,Bomba inox com a sua logo. Sem rosca ou com rosca.,in stock,new,,https://khaus-site.vercel.app/p/bomba-inox,https://khaus-site.vercel.app/img/bomba-inox.webp,Khaus Brindes,Tereré e chimarrão
caneca-porcelana,Caneca porcelana,Caneca porcelana com a sua logo. Porcelana branca.,in stock,new,,https://khaus-site.vercel.app/p/caneca-porcelana,https://khaus-site.vercel.app/img/caneca-porcelana.webp,Khaus Brindes,Canecas
caneca-magica,Caneca mágica,Caneca mágica com a sua logo. A estampa aparece com a bebida quente.,in stock,new,,https://khaus-site.vercel.app/p/caneca-magica,https://khaus-site.vercel.app/img/caneca-magica.webp,Khaus Brindes,Canecas
kit-torre-xicaras,Kit torre com 4 xícaras,Kit torre com 4 xícaras com a sua logo. Suporte com 4 xícaras.,in stock,new,,https://khaus-site.vercel.app/p/kit-torre-xicaras,https://khaus-site.vercel.app/img/kit-torre-xicaras.webp,Khaus Brindes,Canecas
